Время (с),A0 (В)
5.6475441455841064,2.176
5.655542850494385,1.608
5.668125629425049,1.804
5.6761274337768555,2.255
5.6881256103515625,2.451
5.696129322052002,2.824
5.708310842514038,2.843
5.717317581176758,2.373
5.725316524505615,2.373
5.7378270626068115,2.333
5.745883941650391,2.392
5.757883548736572,2.529
5.765932083129883,2.706
5.777930498123169,2.745
5.787029027938843,2.902
5.799027919769287,2.784
5.807034015655518,2.275
5.815609693527222,1.902
5.827691078186035,2.275
5.836261034011841,2.725
5.848397731781006,2.667
5.856397390365601,2.373
5.868524789810181,2.529
5.876598358154297,2.373
5.888596773147583,1.863
5.897602558135986,1.784
5.905596733093262,1.941
5.917792797088623,2.353
5.925791501998901,2.569
5.938305854797363,2.471
5.946355104446411,2.627
5.958418130874634,2.745
5.96641993522644,2.784
5.979420185089111,2.373
5.987466096878052,2.137
5.999510288238525,2.510
6.007510423660278,2.549
6.02051568031311,2.412
6.028573989868164,2.627
6.036758184432983,2.843
6.048758268356323,3.039
6.056819915771484,2.431
6.068896770477295,1.706
6.077897071838379,2.157
6.08989691734314,1.980
6.097896337509155,2.078
6.109956979751587,2.333
6.11795973777771,3.196
6.130475282669067,2.902
6.138478994369507,1.588
6.151638984680176,1.373
6.159262180328369,1.961
6.167254686355591,2.667
6.18025541305542,2.824
6.188307046890259,2.961
6.200351715087891,3.137
6.208351373672485,3.196
6.220356464385986,2.431
6.229445934295654,1.706
6.237486124038696,2.020
6.249485969543457,2.235
6.2574849128723145,2.745
6.269484758377075,2.706
6.278557777404785,2.647
6.29082727432251,2.471
6.298827171325684,2.373
6.310827732086182,2.667
6.3189637660980225,2.686
6.326964855194092,2.431
6.339621067047119,2.137
6.347620248794556,1.882
6.359681844711304,1.980
6.368682384490967,2.353
6.380708456039429,2.529
6.388725280761719,2.353
6.4007248878479,3.098
6.409726142883301,2.510
6.4177327156066895,1.549
6.429246664047241,2.392
6.438254117965698,2.647
6.450259208679199,2.333
6.458314418792725,2.588
6.470369338989258,2.431
6.479367256164551,2.588
6.491365671157837,2.824
6.499366521835327,2.647
6.511367082595825,2.686
6.519371032714844,2.902
6.531879901885986,2.392
6.539880275726318,1.941
6.548019170761108,2.314
6.561065196990967,2.529
6.569069862365723,2.647
6.581143617630005,2.667
6.589655160903931,2.157
6.602193117141724,2.490
6.610193252563477,2.216
6.622196912765503,2.039
6.630260467529297,2.039
6.642307281494141,2.373
6.651307106018066,2.529
6.663307428359985,2.314
6.671353101730347,2.157
6.679462909698486,2.549
6.6914613246917725,2.157
6.700462102890015,2.039
6.712593078613281,2.176
6.720650672912598,2.314
6.73316216468811,2.431
6.7411603927612305,2.804
6.74925684928894,2.902
6.76125693321228,3.098
6.769257068634033,2.843
6.782346963882446,2.529
6.7903892993927,2.588
6.802388429641724,2.451
6.810388565063477,2.157
6.822536945343018,2.529
6.831101417541504,3.333
6.8391008377075195,3.078
6.8511576652526855,2.529
6.860224008560181,1.863
6.8722240924835205,2.294
6.880276679992676,2.588
6.892327308654785,2.451
6.900416851043701,2.353
6.913024425506592,1.922
6.921033143997192,2.529
6.929089307785034,2.549
6.941394805908203,2.431
6.954389810562134,2.647
6.9623894691467285,2.510
6.97497034072876,1.745
6.982975721359253,2.137
6.995448589324951,2.314
7.003453731536865,2.647
7.01145339012146,3.078
7.023458242416382,2.824
7.0319664478302,2.000
7.043967008590698,2.196
7.052029371261597,1.863
7.065027236938477,2.137
7.073078155517578,2.490
7.085142135620117,2.647
7.093147039413452,2.451
7.101146936416626,2.863
7.11421012878418,2.745
7.122265338897705,2.431
7.1345741748809814,2.000
7.142635822296143,1.961
7.154697895050049,2.216
7.162698745727539,3.059
7.175698280334473,2.725
7.1836981773376465,2.804
7.195698976516724,2.039
7.203784227371216,1.745
7.215846061706543,2.255
7.224846124649048,2.725
7.232354402542114,2.569
7.245354175567627,2.294
7.253354787826538,2.275
7.265408039093018,2.706
7.273408889770508,2.471
7.2854084968566895,3.137
7.294408559799194,3.549
7.302408218383789,2.980
7.314462900161743,2.176
7.322467565536499,2.000
7.334535121917725,1.824
7.342772483825684,2.529
7.355837345123291,2.667
7.363837242126465,2.647
7.375951766967773,2.745
7.384007930755615,2.902
7.392006874084473,2.843
7.4050068855285645,2.373
7.413059949874878,2.000
7.425063133239746,1.922
7.433572292327881,2.118
7.445572137832642,2.490
7.453625679016113,2.431
7.465725898742676,2.569
7.474727153778076,2.431
7.486726760864258,2.804
7.494858026504517,2.412
7.506902694702148,2.196
7.5149078369140625,2.451
7.523907899856567,2.490
7.535419702529907,2.176
7.543513059616089,2.549
7.556514024734497,2.373
7.564579010009766,1.843
7.57664942741394,2.137
7.58464503288269,2.569
7.597645044326782,2.000
7.605644941329956,2.686
7.613645076751709,2.902
